Variable 			   Type    Values
subject                            numeric 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
bodyAcceleration_mean_X            numeric continuous                                                                      
bodyAcceleration_mean_Y            numeric continuous                                                                      
bodyAcceleration_mean_Z            numeric continuous                                                                      
bodyAcceleration_std_X             numeric continuous                                                                      
bodyAcceleration_std_Y             numeric continuous                                                                      
bodyAcceleration_std_Z             numeric continuous                                                                      
gravity_mean_X                     numeric continuous                                                                      
gravity_mean_Y                     numeric continuous                                                                      
gravity_mean_Z                     numeric continuous                                                                      
gravity_std_X                      numeric continuous                                                                      
gravity_std_Y                      numeric continuous                                                                      
gravity_std_Z                      numeric continuous                                                                      
bodyAccelerationJerk_mean_X        numeric continuous                                                                      
bodyAccelerationJerk_mean_Y        numeric continuous                                                                      
bodyAccelerationJerk_mean_Z        numeric continuous                                                                      
bodyAccelerationJerk_std_X         numeric continuous                                                                      
bodyAccelerationJerk_std_Y         numeric continuous                                                                      
bodyAccelerationJerk_std_Z         numeric continuous                                                                      
bodyGyro_mean_X                    numeric continuous                                                                      
bodyGyro_mean_Y                    numeric continuous                                                                      
bodyGyro_mean_Z                    numeric continuous                                                                      
bodyGyro_std_X                     numeric continuous                                                                      
bodyGyro_std_Y                     numeric continuous                                                                      
bodyGyro_std_Z                     numeric continuous                                                                      
bodyGyroJerk_mean_X                numeric continuous                                                                      
bodyGyroJerk_mean_Y                numeric continuous                                                                      
bodyGyroJerk_mean_Z                numeric continuous                                                                      
bodyGyroJerk_std_X                 numeric continuous                                                                      
bodyGyroJerk_std_Y                 numeric continuous                                                                      
bodyGyroJerk_std_Z                 numeric continuous                                                                      
bodyAccelerationMagnitude_mean     numeric continuous                                                                      
bodyAccelerationMagnitude_std      numeric continuous                                                                      
gravityMagnitude_mean              numeric continuous                                                                      
gravityMagnitude_std               numeric continuous                                                                      
bodyAccelerationJerkMagnitude_mean numeric continuous                                                                      
bodyAccelerationJerkMagnitude_std  numeric continuous                                                                      
bodyGyroMagnitude_mean             numeric continuous                                                                      
bodyGyroMagnitude_std              numeric continuous                                                                      
bodyGyroJerkMagnitude_mean         numeric continuous                                                                      
bodyGyroJerkMagnitude_std          numeric continuous                                                                      
bodyAcceleration_mean_X            numeric continuous                                                                      
bodyAcceleration_mean_Y            numeric continuous                                                                      
bodyAcceleration_mean_Z            numeric continuous                                                                      
bodyAcceleration_std_X             numeric continuous                                                                      
bodyAcceleration_std_Y             numeric continuous                                                                      
bodyAcceleration_std_Z             numeric continuous                                                                      
bodyAccelerationJerk_mean_X        numeric continuous                                                                      
bodyAccelerationJerk_mean_Y        numeric continuous                                                                      
bodyAccelerationJerk_mean_Z        numeric continuous                                                                      
bodyAccelerationJerk_std_X         numeric continuous                                                                      
bodyAccelerationJerk_std_Y         numeric continuous                                                                      
bodyAccelerationJerk_std_Z         numeric continuous                                                                      
bodyGyro_mean_X                    numeric continuous                                                                      
bodyGyro_mean_Y                    numeric continuous                                                                      
bodyGyro_mean_Z                    numeric continuous                                                                      
bodyGyro_std_X                     numeric continuous                                                                      
bodyGyro_std_Y                     numeric continuous                                                                      
bodyGyro_std_Z                     numeric continuous                                                                      
bodyAccelerationMagnitude_mean     numeric continuous                                                                      
bodyAccelerationMagnitude_std      numeric continuous                                                                      
bodyAccelerationJerkMagnitude_mean numeric continuous                                                                      
bodyAccelerationJerkMagnitude_std  numeric continuous                                                                      
bodyGyroMagnitude_mean             numeric continuous                                                                      
bodyGyroMagnitude_std              numeric continuous                                                                      
bodyGyroJerkMagnitude_mean         numeric continuous                                                                      
bodyGyroJerkMagnitude_std          numeric continuous                                                                      
activity                           string  laying,sitting,standing,walking,walking_downstairs,walking_upstairs             
